Countries,PERSONAL FREEDOM (Score),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Disappearances,Violent Conflicts,Organised Conflicts,Terrorism Fatalities,Terrorism Injuries,Disapperances  Conflicts and Terrorism,Female Genital Mutilation,Missing Women,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Womens Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Womens Movement,Movement,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Political Parties,Professional Organizations,Educational Sporting and Cultural Organizations,Establishing and Operating Organizations,Association Assembly & Civil Society,Press Killed,Press Jailed,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Parental Authority: In Marriage,Parental Authority: After Divorce,Parental Rights,Male to Male Relationships,Female to Female Relationships,SameSex Relationships,Divorce,Identity & Relationships
Guatemala,6.52,5.56,3.32,2.89,3.92,0.00,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,6.33,10.00,10.00,10.00,10.00,10.00,9.44,7.64,9.03,7.50,7.50,7.50,10.00,2.50,6.67,7.22,3.88,10.00,4.00,4.25,10.00,7.50,10.00,7.09,0.00,5.00,5.00,5.00,10.00,10.00,10.00,10.00,6.25
Guinea,5.46,,,,3.35,6.62,10.00,10.00,7.50,9.97,9.94,9.48,0.40,7.50,10.00,5.00,7.50,5.13,7.08,0.00,5.00,5.00,3.33,10.00,8.67,7.36,8.68,7.50,7.50,8.75,10.00,10.00,9.58,8.19,10.00,10.00,3.67,2.75,7.50,5.00,7.50,6.63,,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.67
GuineaBissau,6.91,,,,3.14,6.33,10.00,10.00,5.00,10.00,10.00,9.00,5.00,10.00,5.00,,5.00,6.67,7.33,10.00,10.00,10.00,10.00,,9.82,8.24,9.03,,,,,,,,10.00,10.00,4.00,4.00,,,,7.00,,5.00,5.00,5.00,10.00,10.00,10.00,10.00,8.33
Guyana,6.60,4.51,4.82,3.49,4.27,2.23,10.00,10.00,7.50,10.00,10.00,9.50,,,,,,,5.87,10.00,10.00,,10.00,,9.67,9.03,9.35,,,,,,,,10.00,10.00,6.33,6.50,,,,8.21,,,,,0.00,10.00,5.00,,5.00
Haiti,7.14,,,,3.36,5.94,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,5.00,5.00,5.00,8.33,7.76,10.00,10.00,10.00,10.00,10.00,9.33,8.19,9.18,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,4.67,5.50,7.50,5.00,10.00,7.52,0.00,5.00,10.00,7.50,10.00,10.00,10.00,10.00,6.88
Honduras,6.28,3.03,4.25,2.51,3.26,0.00,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,5.00,5.00,8.33,5.94,10.00,10.00,5.00,8.33,10.00,9.00,7.08,8.69,7.50,7.50,6.25,7.50,10.00,7.92,7.64,10.00,10.00,4.00,1.50,10.00,7.50,10.00,7.57,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50
Hong Kong,8.79,7.64,7.72,8.02,7.79,9.88,,10.00,,10.00,10.00,10.00,10.00,7.50,5.00,10.00,7.50,8.33,9.40,,,10.00,10.00,10.00,9.28,8.52,9.26,7.50,7.50,8.75,7.50,7.50,7.92,7.64,10.00,10.00,5.67,5.75,10.00,10.00,10.00,8.77,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Hungary,8.19,6.94,5.24,5.41,5.86,9.41,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,,,,10.00,9.64,10.00,10.00,10.00,10.00,7.50,8.40,8.24,8.05,10.00,7.50,8.75,10.00,10.00,9.58,9.03,10.00,10.00,6.00,6.25,10.00,7.50,10.00,8.54,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50
Iceland,9.01,,,,7.93,9.64,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.88,10.00,10.00,10.00,10.00,10.00,9.22,5.09,8.10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.67,8.75,5.00,5.00,10.00,8.20,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
India,6.46,4.19,4.27,4.14,4.20,8.72,0.00,9.88,5.00,9.90,9.90,6.94,10.00,5.00,5.00,5.00,5.00,6.67,7.44,5.00,5.00,10.00,6.67,10.00,6.18,6.48,7.55,7.50,7.50,10.00,10.00,5.00,8.33,7.78,9.92,9.97,6.33,4.75,7.50,5.00,7.50,7.28,10.00,5.00,5.00,5.00,0.00,10.00,5.00,5.00,6.25
Indonesia,6.67,4.16,4.31,3.81,4.09,9.80,10.00,10.00,7.50,9.98,9.99,9.49,10.00,7.50,5.00,5.00,5.00,7.50,8.93,10.00,5.00,5.00,6.67,7.50,6.34,4.07,5.97,10.00,10.00,8.75,5.00,2.50,5.42,8.47,10.00,10.00,4.67,5.50,10.00,7.50,5.00,7.52,7.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.50
Iran,4.35,3.08,5.50,4.27,4.28,8.35,0.00,10.00,2.50,9.84,9.97,6.46,10.00,7.50,0.00,0.00,0.00,5.83,6.88,0.00,0.00,0.00,0.00,5.00,7.01,3.38,5.13,2.50,5.00,2.50,5.00,2.50,3.33,3.61,10.00,7.60,0.00,1.00,7.50,5.00,5.00,5.16,,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.67
Ireland,9.17,,,,8.11,9.74,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,9.75,10.00,10.00,10.00,10.00,10.00,8.33,7.82,8.72,10.00,10.00,10.00,7.50,5.00,7.50,9.17,10.00,10.00,8.33,8.50,10.00,7.50,10.00,9.19,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Israel,7.87,,,,7.11,9.46,10.00,10.00,5.00,9.20,7.18,8.28,10.00,10.00,10.00,10.00,10.00,10.00,9.24,0.00,0.00,5.00,1.67,10.00,7.03,5.51,7.51,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.81,7.67,6.50,10.00,7.50,10.00,8.64,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Italy,8.74,7.61,5.70,6.38,6.56,9.69,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90,10.00,10.00,10.00,10.00,10.00,7.54,7.08,8.21,10.00,10.00,10.00,10.00,7.50,9.17,9.72,10.00,10.00,6.00,7.50,10.00,10.00,10.00,9.07,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Jamaica,7.15,5.58,5.45,4.54,5.19,0.00,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,6.50,10.00,10.00,5.00,8.33,7.50,9.62,8.84,8.66,10.00,10.00,7.50,10.00,7.50,8.33,9.44,10.00,10.00,9.00,8.00,10.00,10.00,10.00,9.57,0.00,10.00,10.00,10.00,0.00,10.00,5.00,10.00,6.25
Japan,8.93,7.70,8.21,6.84,7.58,9.88,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50,10.00,10.00,10.00,9.17,9.68,10.00,10.00,10.00,10.00,7.50,8.94,9.82,8.75,10.00,10.00,7.50,7.50,5.00,6.67,8.89,10.00,10.00,8.33,6.25,10.00,10.00,10.00,9.23,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Jordan,6.21,5.02,6.26,5.88,5.72,9.20,10.00,10.00,7.50,9.69,9.71,9.38,10.00,7.50,0.00,0.00,0.00,5.83,8.14,10.00,5.00,5.00,6.67,5.00,7.76,4.31,5.69,5.00,7.50,1.25,5.00,2.50,2.92,5.14,10.00,10.00,2.67,4.00,7.50,7.50,5.00,6.67,,0.00,0.00,0.00,10.00,10.00,10.00,0.00,3.33
Kazakhstan,6.49,4.08,5.47,4.06,4.53,8.06,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,9.02,5.00,5.00,5.00,5.00,5.00,8.44,6.02,6.49,5.00,5.00,0.00,2.50,2.50,1.67,3.89,10.00,10.00,0.67,1.75,7.50,7.50,7.50,6.42,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Kenya,6.24,3.12,4.32,3.51,3.65,7.70,0.00,9.72,5.00,8.00,9.11,6.37,7.30,7.50,5.00,5.00,5.00,6.60,6.89,5.00,5.00,10.00,6.67,7.50,7.52,7.03,7.35,10.00,7.50,10.00,5.00,5.00,6.67,8.06,7.83,10.00,4.33,4.00,7.50,7.50,10.00,7.31,,5.00,5.00,5.00,0.00,10.00,5.00,10.00,6.67
"Korea, Republic of",8.79,7.57,8.10,7.07,7.58,9.70,10.00,10.00,7.50,10.00,10.00,9.50,10.00,7.50,10.00,10.00,10.00,9.17,9.46,10.00,5.00,10.00,8.33,10.00,8.76,9.03,9.26,10.00,10.00,7.50,7.50,10.00,8.33,9.44,10.00,10.00,6.67,6.50,10.00,10.00,10.00,9.02,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Kuwait,5.70,,,,5.29,9.22,10.00,10.00,7.50,7.60,0.00,7.02,10.00,7.50,0.00,0.00,0.00,5.83,7.36,10.00,0.00,5.00,5.00,5.00,7.94,4.77,5.90,7.50,7.50,0.00,0.00,2.50,0.83,5.28,10.00,7.43,3.33,4.25,10.00,10.00,7.50,7.50,,0.00,0.00,0.00,0.00,10.00,5.00,0.00,1.67
Kyrgyz Republic,6.21,4.32,4.26,3.35,3.98,7.95,5.00,10.00,2.50,9.94,10.00,7.49,10.00,10.00,5.00,5.00,5.00,8.33,7.92,5.00,5.00,5.00,5.00,,7.38,5.97,6.68,,,,,,,,10.00,8.32,3.33,3.25,,,,6.23,7.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.00
Laos,5.98,,,,4.02,7.25,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,5.00,5.00,5.00,8.33,8.20,5.00,5.00,5.00,5.00,7.50,8.57,6.02,7.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,1.33,1.75,10.00,7.50,7.50,6.87,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Latvia,8.72,,,,6.50,8.36,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.45,10.00,10.00,10.00,10.00,10.00,9.12,7.08,8.74,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.67,7.50,10.00,10.00,10.00,9.31,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Lebanon,6.01,4.36,4.77,3.09,4.07,8.42,10.00,5.67,2.50,3.68,0.00,4.37,10.00,10.00,0.00,0.00,0.00,6.67,6.49,5.00,10.00,5.00,6.67,7.50,8.30,6.76,7.52,10.00,10.00,8.75,7.50,7.50,7.92,9.31,10.00,10.00,3.33,4.50,7.50,2.50,10.00,6.83,,5.00,5.00,5.00,0.00,10.00,5.00,0.00,3.33
Lesotho,6.68,,,,4.95,0.00,10.00,10.00,7.50,9.84,9.81,9.43,10.00,7.50,5.00,5.00,5.00,7.50,5.64,10.00,10.00,10.00,10.00,,9.78,8.15,8.96,,,,,,,,10.00,10.00,5.67,5.00,,,,7.67,0.00,5.00,10.00,7.50,10.00,10.00,10.00,5.00,5.63
Liberia,6.37,3.96,4.46,2.65,3.69,8.68,10.00,10.00,7.50,10.00,10.00,9.50,4.20,10.00,5.00,5.00,5.00,6.40,8.19,5.00,10.00,5.00,6.67,,9.18,8.79,8.99,,,5.00,,,,,10.00,10.00,4.67,4.75,,,,7.35,,10.00,5.00,7.50,0.00,0.00,0.00,5.00,4.17
Libya,3.79,,,,2.52,9.00,5.00,0.00,0.00,0.00,0.00,1.00,10.00,7.50,0.00,0.00,0.00,5.83,5.28,,,5.00,5.00,2.50,7.57,6.06,5.38,2.50,2.50,7.50,2.50,2.50,4.17,3.06,0.00,10.00,2.67,1.50,7.50,2.50,5.00,4.17,,0.00,5.00,2.50,0.00,0.00,0.00,0.00,0.83
Lithuania,8.75,,,,6.81,7.61,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.20,10.00,10.00,10.00,10.00,7.50,8.96,7.59,8.01,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,8.25,10.00,10.00,10.00,9.46,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Luxembourg,9.33,,,,8.23,9.71,10.00,10.00,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90,10.00,10.00,10.00,10.00,10.00,9.85,7.13,8.99,10.00,10.00,,10.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,10.00,10.00,10.00,9.71,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Macedonia,7.25,4.65,5.58,5.14,5.12,9.36,10.00,10.00,5.00,10.00,9.81,8.96,10.00,7.50,5.00,5.00,5.00,7.50,8.61,10.00,0.00,10.00,6.67,10.00,8.51,7.22,8.58,7.50,7.50,,5.00,10.00,7.50,7.50,10.00,10.00,3.67,4.00,10.00,10.00,7.50,7.88,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50
Madagascar,7.14,3.08,4.12,3.98,3.73,9.75,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,5.00,5.00,8.33,9.20,10.00,10.00,10.00,10.00,7.50,9.84,8.06,8.47,7.50,2.50,10.00,5.00,5.00,6.67,5.56,10.00,10.00,3.67,4.25,10.00,5.00,10.00,7.56,,10.00,5.00,7.50,10.00,10.00,10.00,5.00,7.50
Malawi,7.46,4.92,5.43,4.44,4.93,9.29,10.00,10.00,7.50,10.00,10.00,9.50,10.00,7.50,5.00,5.00,5.00,7.50,8.76,10.00,10.00,5.00,8.33,,9.39,7.83,8.61,,,,,,,,10.00,10.00,5.00,6.25,,,,7.81,10.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,7.50
Malaysia,6.02,5.09,5.63,5.58,5.43,9.24,10.00,10.00,10.00,9.99,9.99,10.00,10.00,10.00,0.00,0.00,0.00,6.67,8.63,5.00,5.00,5.00,5.00,2.50,7.27,3.79,4.52,7.50,2.50,5.00,2.50,2.50,3.33,4.44,10.00,10.00,1.33,4.00,7.50,7.50,7.50,6.83,7.00,5.00,5.00,5.00,0.00,0.00,0.00,5.00,4.25
Mali,5.88,,,,4.02,5.67,5.00,7.56,2.50,4.92,7.16,5.43,1.10,7.50,5.00,5.00,5.00,4.53,5.21,10.00,10.00,5.00,8.33,5.00,8.67,8.15,7.27,7.50,7.50,8.75,7.50,7.50,7.92,7.64,10.00,10.00,7.33,5.25,7.50,5.00,7.50,7.51,,0.00,0.00,0.00,10.00,10.00,10.00,5.00,5.00
Malta,8.95,,,,7.09,9.62,10.00,10.00,,10.00,10.00,10.00,,,,,,,9.81,10.00,10.00,,10.00,10.00,9.22,6.48,8.57,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.33,7.75,10.00,5.00,10.00,8.73,10.00,,,,10.00,10.00,10.00,,10.00
Mauritania,5.75,,,,3.91,5.91,5.00,10.00,5.00,10.00,10.00,8.00,2.80,7.50,0.00,0.00,0.00,3.43,5.78,5.00,10.00,10.00,8.33,10.00,9.07,4.58,7.88,10.00,7.50,10.00,10.00,7.50,9.17,8.89,10.00,7.54,4.67,5.00,10.00,10.00,10.00,8.17,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,7.73,,,,6.61,8.90,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,8.33,9.08,5.00,5.00,10.00,6.67,7.50,9.33,7.82,8.22,10.00,10.00,7.50,7.50,7.50,7.50,9.17,10.00,10.00,8.00,7.50,10.00,7.50,10.00,9.00,,10.00,10.00,10.00,0.00,0.00,0.00,5.00,5.00
Mexico,6.92,4.51,4.08,2.86,3.81,3.46,0.00,10.00,7.50,9.98,9.98,7.49,10.00,10.00,5.00,5.00,5.00,8.33,6.43,10.00,10.00,10.00,10.00,10.00,8.26,7.18,8.48,10.00,10.00,5.00,10.00,2.50,5.83,8.61,6.85,10.00,3.67,2.25,10.00,7.50,5.00,6.47,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Moldova,7.00,5.01,4.65,3.82,4.49,8.72,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,5.00,5.00,5.00,8.33,8.69,5.00,10.00,10.00,8.33,5.00,7.80,6.29,6.36,7.50,2.50,,2.50,5.00,3.75,4.58,10.00,10.00,4.33,4.75,10.00,7.50,7.50,7.73,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Mongolia,7.57,5.72,5.45,4.84,5.33,7.11,5.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,8.70,10.00,10.00,10.00,10.00,5.00,9.33,7.54,7.29,7.50,7.50,7.50,5.00,5.00,5.83,6.94,10.00,10.00,5.67,7.00,5.00,5.00,7.50,7.17,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Montenegro,8.11,,,,5.28,8.91,10.00,10.00,7.50,10.00,10.00,9.50,,,,,,,9.21,10.00,10.00,,10.00,,8.24,7.59,7.92,,,,,,,,10.00,10.00,6.33,5.50,,,,7.96,10.00,,,,10.00,10.00,10.00,,10.00
Morocco,6.18,2.87,5.35,3.69,3.97,9.58,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,0.00,0.00,0.00,6.67,8.42,10.00,5.00,10.00,8.33,5.00,8.10,4.35,5.82,7.50,7.50,8.75,7.50,0.00,5.42,6.81,10.00,9.71,2.33,3.75,7.50,7.50,5.00,6.54,,5.00,5.00,5.00,0.00,0.00,0.00,5.00,3.33
Mozambique,6.85,,,,3.84,8.54,10.00,10.00,5.00,9.86,9.98,8.97,10.00,10.00,5.00,5.00,5.00,8.33,8.61,10.00,10.00,5.00,8.33,2.50,9.96,9.26,7.24,5.00,2.50,8.75,0.00,2.50,3.75,3.75,10.00,10.00,6.00,5.25,10.00,7.50,7.50,8.04,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Myanmar,5.67,2.30,4.21,3.19,3.23,9.03,5.00,6.10,5.00,9.64,9.44,7.04,10.00,10.00,0.00,5.00,2.50,7.50,7.86,0.00,0.00,5.00,1.67,7.50,7.52,6.71,7.24,7.50,7.50,7.50,5.00,7.50,6.67,7.22,10.00,9.07,2.33,3.00,7.50,7.50,10.00,7.06,,0.00,5.00,2.50,0.00,10.00,5.00,10.00,5.83
Namibia,7.28,,,,5.54,3.01,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,5.00,5.00,8.33,6.95,10.00,10.00,10.00,10.00,7.50,9.80,9.08,8.79,7.50,7.50,7.50,7.50,7.50,7.50,7.50,10.00,10.00,7.00,6.50,5.00,5.00,7.50,7.29,7.00,10.00,10.00,10.00,0.00,10.00,5.00,10.00,8.00
Nepal,7.30,3.91,4.15,4.44,4.17,9.09,10.00,10.00,7.50,10.00,9.92,9.48,10.00,7.50,10.00,10.00,10.00,9.17,9.25,10.00,10.00,5.00,8.33,7.50,7.80,7.63,7.64,7.50,7.50,6.25,5.00,2.50,4.58,6.53,10.00,10.00,4.67,4.25,10.00,5.00,5.00,6.99,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Netherlands,9.37,8.73,8.77,7.99,8.50,9.76,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.92,10.00,10.00,10.00,10.00,10.00,8.39,7.54,8.64,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.33,8.75,10.00,10.00,10.00,9.73,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
New Zealand,9.25,8.12,7.84,7.51,7.82,9.64,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.88,10.00,10.00,10.00,10.00,10.00,9.67,9.68,9.78,10.00,10.00,7.50,10.00,10.00,9.17,9.72,10.00,10.00,8.33,8.00,10.00,10.00,10.00,9.48,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Nicaragua,6.16,3.44,3.68,3.15,3.42,5.47,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,5.00,5.00,8.33,7.77,10.00,10.00,5.00,8.33,5.00,9.51,8.34,7.62,5.00,2.50,2.50,2.50,2.50,2.50,3.33,10.00,10.00,5.33,4.25,7.50,7.50,7.50,7.44,0.00,5.00,10.00,7.50,10.00,10.00,10.00,10.00,6.88
Niger,5.73,,,,4.26,8.11,10.00,7.14,2.50,0.00,8.83,5.69,9.80,7.50,0.00,0.00,0.00,5.77,6.52,10.00,10.00,0.00,6.67,7.50,8.32,6.25,7.36,5.00,5.00,6.25,5.00,7.50,6.25,5.42,10.00,10.00,4.67,5.00,7.50,7.50,2.50,6.74,,5.00,0.00,2.50,10.00,10.00,10.00,0.00,4.17
Nigeria,5.45,3.66,4.80,4.19,4.22,6.08,0.00,1.83,2.50,0.21,6.87,2.28,7.00,7.50,0.00,0.00,0.00,4.83,4.40,5.00,10.00,5.00,6.67,10.00,6.76,6.25,7.67,7.50,7.50,8.75,10.00,10.00,9.58,8.19,10.00,10.00,5.33,4.50,7.50,5.00,7.50,7.12,,5.00,5.00,5.00,0.00,0.00,0.00,5.00,3.33
Norway,9.47,9.00,8.51,8.35,8.62,9.78,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.93,10.00,10.00,10.00,10.00,10.00,8.83,6.76,8.53,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.33,9.25,10.00,10.00,10.00,9.80,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Oman,5.60,,,,5.98,9.52,10.00,10.00,7.50,10.00,10.00,9.50,10.00,7.50,0.00,0.00,0.00,5.83,8.28,10.00,10.00,0.00,6.67,0.00,9.44,4.81,4.75,2.50,2.50,2.50,0.00,5.00,2.50,2.50,10.00,10.00,1.67,3.25,7.50,7.50,5.00,6.42,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,5.21,3.02,3.70,3.77,3.50,6.90,0.00,6.34,2.50,7.17,8.04,4.81,10.00,5.00,0.00,0.00,0.00,5.00,5.57,5.00,5.00,5.00,5.00,10.00,5.70,5.32,7.01,7.50,7.50,8.75,10.00,10.00,9.58,8.19,9.47,10.00,3.67,2.75,2.50,2.50,7.50,5.48,10.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,3.75
Panama,7.71,5.54,4.84,2.88,4.42,5.45,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.48,10.00,10.00,10.00,10.00,7.50,9.29,6.16,7.65,10.00,10.00,10.00,7.50,7.50,8.33,9.44,10.00,10.00,4.33,5.50,10.00,10.00,10.00,8.55,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Papua New Guinea,7.11,,,,3.80,5.84,10.00,10.00,7.50,10.00,10.00,9.50,10.00,7.50,5.00,5.00,5.00,7.50,7.61,10.00,10.00,10.00,10.00,,8.63,7.27,7.95,,,,,,,,10.00,10.00,7.67,6.75,,,,8.60,,5.00,10.00,7.50,0.00,10.00,5.00,10.00,7.50
Paraguay,6.99,,,,4.11,6.28,10.00,10.00,5.00,9.35,10.00,8.87,10.00,10.00,5.00,5.00,5.00,8.33,7.83,10.00,5.00,10.00,8.33,7.50,9.56,8.19,8.42,7.50,10.00,5.00,5.00,7.50,5.83,7.78,10.00,10.00,5.00,3.75,10.00,7.50,10.00,8.04,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50
Peru,7.44,5.91,4.37,3.44,4.58,7.14,10.00,10.00,7.50,9.94,9.96,9.48,10.00,10.00,5.00,5.00,5.00,8.33,8.32,10.00,10.00,10.00,10.00,10.00,9.11,6.06,8.39,10.00,7.50,7.50,10.00,7.50,8.33,8.61,10.00,10.00,5.00,5.25,10.00,7.50,10.00,8.25,0.00,10.00,5.00,7.50,10.00,10.00,10.00,10.00,6.88
Philippines,6.46,3.65,4.49,3.64,3.93,6.06,5.00,8.11,2.50,8.53,8.51,6.53,10.00,10.00,5.00,5.00,5.00,8.33,6.98,10.00,10.00,5.00,8.33,10.00,8.89,8.57,9.15,7.50,7.50,5.00,7.50,10.00,7.50,7.50,10.00,10.00,5.33,5.00,10.00,10.00,10.00,8.62,0.00,0.00,0.00,0.00,10.00,10.00,10.00,5.00,3.75
Poland,8.81,7.72,6.63,6.91,7.09,9.70,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90,10.00,10.00,10.00,10.00,7.50,8.73,7.41,7.88,10.00,10.00,10.00,10.00,7.50,9.17,9.72,7.37,10.00,7.00,7.25,10.00,10.00,10.00,8.80,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Portugal,9.09,8.13,6.64,6.72,7.16,9.61,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.87,10.00,10.00,10.00,10.00,10.00,9.89,8.79,9.56,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.33,8.25,10.00,10.00,10.00,9.51,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Qatar,5.42,,,,6.65,6.76,10.00,10.00,10.00,10.00,9.91,9.98,10.00,7.50,0.00,0.00,0.00,5.83,7.53,5.00,5.00,0.00,3.33,10.00,8.70,4.07,7.59,0.00,2.50,0.00,0.00,0.00,0.00,0.83,10.00,10.00,3.00,3.50,7.50,7.50,7.50,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Romania,8.66,6.72,6.46,5.80,6.32,9.40,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.80,10.00,10.00,10.00,10.00,10.00,8.21,7.50,8.57,10.00,10.00,8.75,10.00,10.00,9.58,9.86,10.00,10.00,7.00,6.00,10.00,7.50,10.00,8.64,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Russia,5.63,3.08,5.17,3.31,3.86,5.48,0.00,9.80,5.00,9.95,9.97,6.94,10.00,10.00,10.00,10.00,10.00,10.00,7.47,0.00,0.00,10.00,3.33,7.50,6.20,3.38,5.69,5.00,5.00,3.75,2.50,5.00,3.75,4.58,10.00,9.93,1.67,1.50,2.50,2.50,7.50,5.09,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Rwanda,6.63,,,,5.35,8.20,10.00,10.00,5.00,10.00,10.00,9.00,10.00,10.00,5.00,5.00,5.00,8.33,8.51,10.00,5.00,5.00,6.67,5.00,9.19,6.66,6.95,2.50,2.50,0.00,0.00,2.50,0.83,1.94,10.00,10.00,2.33,1.50,7.50,10.00,7.50,6.98,,5.00,10.00,7.50,10.00,10.00,10.00,10.00,9.17
